time [ms],led_0,led_1,led_2,led_3
23,0,0,0,0
69,0,0,0,0
116,0,0,0,0
162,0,0,0,0
208,0,0,0,0
255,0,0,0,0
301,0,0,0,0
348,0,0,0,0
394,0,0,0,0
441,0,0,0,0
487,0,0,0,0
534,0,0,0,0
580,0,0,0,0
626,0,0,0,0
673,0,0,0,0
719,0,0,0,0
766,0,0,0,0
812,0,0,2,5
859,0,1,2,6
905,0,2,2,5
952,0,2,2,5
998,0,2,2,5
1044,0,2,2,6
1091,0,2,2,6
1137,0,2,2,5
1184,0,2,2,5
1230,0,2,2,5
1277,0,3,3,7
1323,0,3,3,7
1369,0,3,2,7
1416,0,4,3,7
1462,0,4,3,7
1509,0,4,3,7
1555,0,4,3,6
1602,0,3,3,7
1648,0,3,2,7
1695,0,4,3,7
1741,0,4,3,7
1787,0,3,1,7
1834,0,4,2,6
1880,0,4,2,6
1927,0,5,2,7
1973,0,5,1,7
2020,0,5,2,7
2066,0,5,1,7
2113,0,5,2,8
2159,0,5,2,8
2205,0,5,2,8
2252,0,5,2,8
2298,0,5,2,8
2345,0,6,2,8
2391,0,6,2,8
2438,0,6,1,8
2484,0,6,2,8
2530,0,6,2,8
2577,0,6,2,8
2623,0,6,2,8
2670,0,6,2,8
2716,0,6,2,8
2763,0,6,2,8
2809,0,6,2,8
2856,0,6,2,8
2902,0,6,2,8
2948,0,5,3,8
2995,0,5,3,8
3041,0,5,3,8
3088,0,4,3,8
3134,0,4,3,8
3181,0,4,2,9
3227,0,4,2,8
3274,0,4,2,9
3320,0,5,3,9
3366,0,5,3,9
3413,0,5,2,9
3459,0,5,2,8
3506,0,5,2,8
3552,0,4,2,8
3599,0,4,2,8
3645,0,4,3,8
3691,0,4,3,8
3738,0,5,3,8
3784,0,5,3,8
3831,0,5,3,8
3877,0,5,3,8
3924,0,5,3,8
3970,0,5,3,8
4017,0,4,2,8
4063,0,4,2,8
4109,0,5,2,8
4156,0,5,3,8
4202,0,5,2,8
4249,0,5,3,8
4295,0,5,3,8
4342,0,5,2,8
4388,0,5,3,8
4435,0,5,3,8
4481,0,5,2,9
4527,0,5,2,8
4574,0,5,2,8
4620,0,5,2,8
4667,0,4,2,8
4713,0,4,2,8
4760,0,4,2,8
4806,0,4,3,8
4852,0,4,3,8
4899,0,4,2,8
4945,0,4,3,8
4992,0,5,3,9
5038,0,5,3,8
5085,0,5,3,8
5131,0,5,3,8
5178,0,5,3,8
5224,0,5,3,8
5270,0,5,3,8
5317,0,5,3,8
5363,0,5,3,8
5410,0,5,3,8
5456,0,5,3,8
5503,0,4,3,8
5549,0,4,3,9
5595,0,4,3,8
5642,0,3,2,9
5688,0,4,2,8
5735,0,4,3,8
5781,0,4,2,8
5828,0,4,3,8
5874,0,4,3,8
5921,0,2,2,7
5967,0,3,3,8
6013,0,2,3,8
6060,0,3,3,8
6106,0,4,3,7
6153,0,4,3,7
6199,0,4,3,8
6246,0,5,4,8
6292,0,5,3,7
6339,0,5,3,8
6385,0,5,3,8
6431,0,5,3,8
6478,0,5,3,8
6524,0,5,3,8
6571,0,4,3,8
6617,0,4,3,8
6664,0,4,3,8
6710,0,4,3,8
6756,0,4,2,8
6803,0,4,2,9
6849,0,4,3,8
6896,0,4,3,8
6942,0,4,2,8
6989,0,4,3,8
7035,0,4,2,8
7082,0,5,3,8
7128,0,4,3,8
7174,0,4,2,8
7221,0,4,3,8
7267,0,4,2,8
7314,0,3,2,8
7360,0,3,3,8
7407,0,4,2,8
7453,0,4,2,8
7500,0,4,2,8
7546,0,5,3,8
7592,0,5,3,8
7639,0,6,2,8
7685,0,6,2,7
7732,0,5,3,8
7778,0,5,2,8
7825,0,5,3,7
7871,0,6,3,8
7917,0,5,3,8
7964,0,5,3,8
8010,0,5,3,8
8057,0,5,3,8
8103,0,5,3,8
8150,0,6,3,8
8196,0,6,3,8
8243,0,5,2,9
8289,0,5,3,9
8335,0,5,3,8
8382,0,5,3,8
8428,0,5,3,8
8475,0,5,3,8
8521,0,6,3,8
8568,0,6,2,8
8614,0,6,2,8
8661,0,6,2,8
8707,0,6,2,8
8753,0,6,2,8
8800,0,6,2,8
8846,0,6,2,8
8893,0,6,2,8
8939,0,6,2,8
8986,0,6,3,8
9032,0,6,2,8
9078,0,6,2,8
9125,0,6,3,9
9171,0,6,2,9
9218,0,6,3,8
9264,0,6,2,8
9311,0,6,2,8
9357,0,6,2,8
9404,0,6,2,8
9450,0,7,2,8
9496,0,7,2,8
9543,0,7,3,8
9589,0,7,2,8
9636,0,7,2,8
9682,0,7,2,8
9729,0,7,2,8
9775,0,7,3,8
9822,0,7,3,8
9868,0,7,3,8
9914,0,7,2,8
9961,0,7,3,8
10007,0,7,2,8
10054,0,7,2,8
10100,0,7,2,8
10147,0,7,2,8
10193,0,7,2,8
10239,0,7,3,8
10286,0,7,3,8
10332,0,7,3,9
10379,0,7,3,8
10425,0,8,3,9
10472,0,8,3,9
10518,0,8,2,9
10565,0,8,2,8
10611,0,8,2,9
10657,0,8,2,9
10704,0,8,3,9
10750,0,8,2,8
10797,0,7,2,8
10843,0,7,2,8
10890,0,7,2,8
10936,0,6,2,8
10983,0,5,1,7
11029,0,6,2,8
11075,0,6,2,8
11122,0,6,2,8
11168,0,6,1,8
11215,0,6,0,8
11261,0,6,2,8
11308,0,6,2,8
11354,0,6,3,9
11400,0,6,3,8
11447,0,6,2,8
11493,0,6,2,8
11540,0,7,1,8
11586,0,7,2,8
11633,0,7,3,8
11679,0,7,2,9
11726,0,7,2,8
11772,0,7,2,8
11818,0,6,3,8
11865,0,5,3,8
11911,0,5,3,7
11958,0,6,2,7
12004,0,6,2,8
12051,0,7,2,8
12097,0,6,2,8
12144,0,6,2,8
12190,0,6,3,8
12236,0,6,2,8
12283,0,7,2,8
12329,0,7,2,8
12376,0,7,3,8
12422,0,8,2,9
12469,0,8,2,9
12515,0,8,2,8
12561,0,8,3,8
12608,0,8,3,8
12654,0,6,3,8
12701,0,6,2,8
12747,0,6,2,8
12794,0,6,2,8
12840,0,7,2,8
12887,0,7,2,8
12933,0,7,2,8
12979,0,6,3,8
13026,0,4,2,7
13072,0,4,2,7
13119,0,4,3,7
13165,0,3,2,7
13212,0,4,2,7
13258,0,3,3,8
13305,0,1,3,7
13351,0,2,3,7
13397,0,0,2,7
13444,0,0,3,7
13490,0,2,3,7
13537,0,1,3,7
13583,0,1,3,7
13630,0,3,3,7
13676,0,3,3,7
13722,0,3,2,6
13769,0,2,2,6
13815,0,2,3,7
13862,0,1,3,7
13908,0,3,3,7
13955,0,2,2,7
14001,0,4,3,7
14048,0,5,2,8
14094,0,5,3,7
14140,0,6,3,8
14187,0,6,3,7
14233,0,5,3,7
14280,0,7,2,8
14326,0,7,2,8
14373,0,7,2,8
14419,0,7,2,8
14466,0,7,2,8
14512,0,8,2,9
14558,0,7,2,8
14605,0,7,2,8
14651,0,7,2,8
14698,0,7,3,8
14744,0,8,2,8
14791,0,8,2,9
14837,0,8,2,9
14883,0,8,2,9
14930,0,7,3,8
14976,0,6,3,8
15023,0,7,3,8
15069,0,6,3,8
15116,0,6,3,8
15162,0,7,3,8
15209,0,8,3,8
