time [ms],led_0,led_1,led_2,led_3
23,0,0,0,0
69,0,0,0,0
116,0,0,0,0
162,0,0,0,0
208,0,0,0,0
255,0,0,0,0
301,0,0,0,0
348,0,0,0,0
394,0,0,0,0
441,0,0,0,0
487,0,0,0,0
534,0,0,0,0
580,0,0,0,0
626,0,0,0,0
673,0,0,0,0
719,0,0,0,0
766,0,0,0,0
812,0,0,0,0
859,0,0,0,0
905,0,0,0,0
952,0,0,0,0
998,0,0,0,0
1044,0,0,0,0
1091,0,0,0,0
1137,0,0,0,0
1184,0,0,0,0
1230,0,0,0,0
1277,0,0,0,0
1323,0,0,0,0
1369,0,0,0,0
1416,0,0,0,0
1462,0,0,0,0
1509,0,0,0,0
1555,0,0,0,0
1602,0,0,0,0
1648,0,0,0,0
1695,0,0,0,0
1741,0,0,0,0
1787,0,0,0,0
1834,0,0,0,0
1880,0,0,0,0
1927,0,0,0,0
1973,0,0,0,0
2020,0,0,0,0
2066,0,0,0,0
2113,0,0,0,0
2159,0,0,0,0
2205,0,0,0,0
2252,0,0,0,0
2298,0,0,0,0
2345,12,16,15,12
2391,13,14,13,5
2438,16,12,13,5
2484,16,14,13,5
2530,15,13,13,5
2577,15,11,13,6
2623,16,12,14,6
2670,16,13,14,5
2716,14,11,13,5
2763,16,12,14,5
2809,16,13,14,5
2856,14,12,14,5
2902,15,11,14,5
2948,16,13,14,5
2995,15,13,14,5
3041,14,11,14,5
3088,16,12,14,5
3134,15,13,13,4
3181,14,12,13,4
3227,15,11,13,5
3274,16,13,12,5
3320,15,12,13,5
3366,15,10,12,5
3413,16,12,12,4
3459,15,13,12,5
3506,14,11,12,5
3552,15,11,12,4
3599,15,12,12,4
3645,14,11,12,4
3691,15,11,12,4
3738,15,12,12,4
3784,14,12,12,3
3831,14,11,11,4
3877,15,11,12,4
3924,15,12,11,4
3970,14,11,11,4
4017,15,10,11,4
4063,15,11,10,3
4109,14,12,11,4
4156,14,11,10,4
4202,14,10,10,4
4249,14,11,11,3
4295,13,12,11,3
4342,13,11,11,3
4388,14,12,10,3
4435,13,12,10,3
4481,13,12,10,3
4527,13,11,10,3
4574,12,12,9,3
4620,12,12,9,3
4667,12,11,10,2
4713,11,11,9,3
4760,11,11,9,2
4806,11,10,9,2
4852,13,10,9,3
4899,12,11,9,3
4945,11,11,9,3
4992,12,9,9,2
5038,13,10,9,2
5085,12,10,9,2
5131,10,10,8,2
5178,13,9,8,2
5224,13,10,8,2
5270,11,10,7,2
5317,12,9,8,2
5363,13,10,7,2
5410,12,10,8,2
5456,11,9,7,2
5503,13,9,7,2
5549,13,10,7,2
5595,11,10,6,2
5642,12,9,6,2
5688,13,9,7,2
5735,11,10,7,2
5781,11,10,7,2
5828,13,9,7,2
5874,12,9,7,2
5921,11,10,8,2
5967,11,9,8,2
6013,12,9,8,2
6060,11,9,7,2
6106,11,8,7,2
6153,12,8,7,2
6199,11,9,7,2
6246,10,8,7,2
6292,11,7,7,1
6339,10,8,7,1
6385,10,8,6,1
6431,11,7,6,1
6478,10,7,6,2
6524,10,7,6,1
6571,10,6,5,2
6617,9,7,5,2
6664,10,7,5,1
6710,9,7,5,2
6756,9,7,6,2
6803,10,6,6,2
6849,8,6,6,2
6896,9,6,6,2
6942,10,6,6,2
6989,9,4,6,2
7035,8,5,6,2
7082,9,5,6,2
7128,9,4,6,2
7174,7,5,6,2
7221,9,5,6,2
7267,10,4,6,2
7314,7,4,6,2
7360,8,4,5,2
7407,9,4,5,2
7453,7,5,5,2
7500,7,4,5,2
7546,8,5,5,2
7592,8,5,5,2
7639,7,4,5,2
7685,7,5,6,2
7732,7,5,6,3
7778,6,5,7,3
7825,6,5,6,2
7871,7,4,6,2
7917,5,4,6,2
7964,6,5,6,2
8010,6,4,6,2
8057,6,4,6,2
8103,5,4,6,2
8150,5,3,6,2
8196,6,4,6,2
8243,3,4,6,2
8289,6,3,6,1
8335,6,4,6,1
8382,4,3,6,2
8428,6,3,6,2
8475,6,3,6,1
8521,5,3,6,1
8568,5,3,6,1
8614,6,3,7,2
8661,5,3,7,2
8707,4,3,7,2
8753,7,3,7,2
8800,4,3,7,1
8846,3,3,7,2
8893,6,3,7,1
8939,3,3,7,2
8986,3,3,7,2
9032,6,3,7,2
9078,1,3,7,2
9125,3,3,7,2
9171,5,4,7,2
9218,2,3,7,2
9264,3,3,7,2
9311,3,4,7,3
9357,3,4,7,3
9404,2,4,7,3
9450,0,4,7,2
9496,4,4,7,3
9543,0,4,7,3
9589,2,4,6,2
9636,4,3,6,2
9682,1,3,7,2
9729,4,4,6,2
9775,4,3,6,2
9822,2,3,6,1
9868,5,3,6,1
9914,4,3,6,1
9961,3,3,6,1
10007,5,3,6,1
10054,3,3,6,1
10100,3,3,6,1
10147,4,3,6,1
10193,3,3,6,1
10239,3,3,6,1
10286,3,3,6,1
10332,3,4,8,7
10379,0,9,8,5
10425,0,5,7,5
10472,3,6,7,5
10518,1,8,6,5
10565,1,8,6,5
10611,3,8,6,5
10657,2,7,5,4
10704,2,7,6,4
10750,3,7,6,4
10797,2,7,6,5
10843,2,7,7,5
10890,3,6,7,5
10936,2,4,7,5
10983,2,5,7,5
11029,2,5,7,4
11075,2,6,7,5
11122,0,7,7,4
11168,0,8,7,4
11215,0,8,7,4
11261,0,7,7,4
11308,0,7,7,4
11354,1,6,7,4
11400,1,5,7,4
11447,2,6,7,4
11493,3,7,7,4
11540,3,8,7,4
11586,3,8,7,4
11633,3,7,7,5
11679,3,6,7,5
11726,4,7,7,5
11772,4,7,6,5
11818,3,8,7,5
11865,3,9,6,5
11911,3,9,7,5
11958,2,8,7,5
12004,2,6,7,5
12051,1,7,7,6
12097,0,9,8,6
12144,1,8,8,6
12190,0,6,8,6
12236,1,8,8,6
12283,1,9,8,6
12329,1,8,8,6
12376,1,6,8,6
12422,1,6,7,6
12469,1,7,8,6
12515,2,8,8,6
12561,1,8,8,7
12608,2,8,8,6
12654,2,9,7,5
12701,1,9,7,6
12747,1,8,7,6
12794,1,7,7,5
12840,0,8,8,5
12887,0,9,7,5
12933,0,10,7,5
12979,0,10,7,5
13026,0,9,7,5
13072,0,7,7,5
13119,0,6,7,5
13165,0,8,8,6
13212,0,9,7,5
13258,0,9,7,5
13305,0,9,7,6
13351,0,8,7,5
13397,0,6,7,5
13444,0,5,8,5
13490,0,8,7,5
13537,0,9,7,5
13583,0,9,6,5
13630,0,9,7,5
13676,0,8,7,5
13722,0,7,7,5
13769,0,7,6,5
13815,0,8,7,5
13862,0,9,7,5
13908,0,9,7,5
13955,0,9,7,5
14001,0,8,7,5
14048,0,7,7,6
14094,0,6,7,5
14140,0,7,6,5
14187,0,8,7,5
14233,0,8,7,5
14280,0,8,7,5
14326,0,8,7,5
14373,0,7,7,5
14419,0,6,7,5
14466,0,7,7,5
14512,0,8,7,5
14558,0,8,7,5
14605,0,9,7,5
14651,0,8,7,5
14698,0,8,6,5
14744,0,8,7,5
14791,0,8,6,5
14837,0,8,7,5
14883,0,8,7,5
14930,0,8,7,5
14976,0,8,6,5
15023,0,8,6,4
15069,0,7,6,5
15116,0,6,7,5
15162,0,7,7,5
15209,0,7,7,5
