time [ms],led_0,led_1,led_2,led_3
23,11,0,0,0
69,11,0,0,0
116,11,0,0,0
162,11,0,0,0
208,11,0,0,0
255,11,0,0,0
301,11,0,1,0
348,11,0,2,0
394,11,0,3,0
441,11,0,3,0
487,11,0,3,0
534,11,0,2,0
580,11,0,2,0
626,11,0,2,0
673,11,0,2,0
719,11,0,2,0
766,11,0,3,0
812,11,0,2,0
859,11,0,3,0
905,11,0,4,0
952,11,0,4,0
998,11,0,5,0
1044,11,0,5,0
1091,11,0,5,0
1137,11,0,4,0
1184,11,0,5,0
1230,11,0,4,0
1277,11,0,5,0
1323,11,0,5,0
1369,11,0,4,0
1416,11,0,5,0
1462,11,0,5,0
1509,11,0,4,0
1555,11,0,6,0
1602,11,0,5,0
1648,11,0,4,0
1695,11,0,6,0
1741,11,0,5,0
1787,11,0,6,0
1834,11,0,5,0
1880,11,0,6,0
1927,11,0,6,0
1973,11,0,5,0
2020,11,0,6,0
2066,11,0,6,0
2113,11,0,7,0
2159,11,0,6,0
2205,11,0,7,0
2252,11,0,7,0
2298,11,0,6,0
2345,11,0,5,0
2391,11,0,6,0
2438,11,0,6,0
2484,11,0,7,0
2530,11,0,6,0
2577,11,0,6,0
2623,11,0,6,0
2670,11,0,6,0
2716,11,0,6,0
2763,11,0,6,0
2809,11,0,6,0
2856,11,0,5,0
2902,11,0,5,0
2948,11,0,6,0
2995,11,4,5,0
3041,12,0,5,0
3088,13,0,5,0
3134,11,0,6,0
3181,14,0,5,0
3227,9,0,3,0
3274,14,0,5,0
3320,9,0,5,0
3366,14,0,4,0
3413,11,0,5,0
3459,13,0,3,0
3506,12,0,3,0
3552,13,0,3,0
3599,13,0,5,0
3645,11,0,5,0
3691,14,0,5,0
3738,9,0,5,0
3784,14,0,5,0
3831,8,0,4,0
3877,14,0,3,0
3924,10,0,3,0
3970,13,0,3,0
4017,12,0,3,0
4063,13,0,3,0
4109,13,0,3,0
4156,12,0,4,0
4202,14,0,4,0
4249,10,0,4,0
4295,14,0,5,0
4342,8,0,5,0
4388,14,0,6,0
4435,10,0,8,0
4481,14,0,6,0
4527,11,0,7,0
4574,13,0,7,0
4620,13,0,6,0
4667,12,0,7,0
4713,13,0,6,0
4760,11,0,4,0
4806,13,0,6,0
4852,10,0,6,0
4899,14,0,6,0
4945,12,0,4,0
4992,14,0,4,0
5038,13,0,3,0
5085,14,0,3,0
5131,14,0,3,0
5178,14,0,3,0
5224,14,0,2,0
5270,13,0,4,0
5317,15,0,4,0
5363,12,0,3,0
5410,14,0,3,0
5456,11,0,2,0
5503,13,0,2,0
5549,11,0,3,0
5595,13,0,3,0
5642,12,0,4,0
5688,12,0,4,0
5735,12,0,4,0
5781,12,0,4,0
5828,13,0,4,0
5874,13,0,5,0
5921,12,0,5,0
5967,12,0,6,0
6013,12,0,7,0
6060,12,0,8,0
6106,13,0,7,0
6153,12,0,6,0
6199,13,0,5,0
6246,12,0,6,0
6292,13,0,5,0
6339,12,0,5,0
6385,13,0,4,0
6431,12,0,5,0
6478,13,0,4,0
6524,12,0,4,0
6571,13,0,4,0
6617,12,0,3,0
6664,12,0,4,0
6710,11,0,4,0
6756,12,0,3,0
6803,10,0,3,0
6849,11,0,2,0
6896,10,0,3,0
6942,10,0,4,0
6989,10,0,3,0
7035,10,0,2,0
7082,9,0,3,0
7128,10,0,2,0
7174,10,0,2,0
7221,10,0,3,0
7267,10,0,4,0
7314,10,0,4,0
7360,10,0,4,0
7407,10,0,2,0
7453,10,0,3,0
7500,10,0,3,0
7546,10,0,4,0
7592,9,0,5,0
7639,10,0,4,0
7685,10,0,3,0
7732,9,0,4,0
7778,10,0,6,0
7825,10,0,7,0
7871,10,0,7,0
7917,10,0,7,0
7964,10,0,7,0
8010,10,0,7,0
8057,10,0,7,0
8103,10,0,6,0
8150,10,0,6,0
8196,10,0,6,0
8243,9,0,6,0
8289,10,0,8,0
8335,10,0,8,0
8382,9,0,8,0
8428,10,0,7,0
8475,10,0,9,0
8521,10,0,9,0
8568,10,0,9,0
8614,10,0,9,0
8661,10,0,7,0
8707,10,0,7,0
8753,10,0,6,0
8800,10,0,7,0
8846,10,0,6,0
8893,10,0,6,0
8939,10,0,6,0
8986,10,0,6,0
9032,10,0,7,0
9078,10,0,6,0
9125,10,0,8,0
9171,10,0,8,0
9218,10,0,7,0
9264,10,0,8,0
9311,10,0,7,0
9357,10,0,8,0
9404,9,0,7,0
9450,10,0,7,0
9496,10,0,5,0
9543,9,0,5,0
9589,10,0,5,0
9636,10,0,5,0
9682,10,0,4,0
9729,10,0,4,0
9775,10,0,4,0
