time [ms],led_0,led_1,led_2,led_3
23,0,0,0,0
69,0,0,0,0
116,0,0,0,0
162,0,0,0,0
208,0,0,0,0
255,0,0,0,0
301,0,0,0,0
348,0,0,0,0
394,0,0,0,0
441,0,0,0,0
487,0,0,0,0
534,0,0,0,0
580,0,0,0,0
626,0,0,0,0
673,0,0,0,0
719,0,0,0,0
766,0,0,0,0
812,0,0,0,0
859,0,0,0,0
905,0,0,0,0
952,0,0,0,0
998,0,0,0,0
1044,0,0,0,0
1091,0,0,0,0
1137,0,0,0,0
1184,0,0,0,0
1230,0,0,0,0
1277,0,0,0,0
1323,0,0,0,0
1369,0,0,0,0
1416,0,0,0,0
1462,0,0,0,0
1509,0,0,0,0
1555,0,0,0,0
1602,0,0,0,0
1648,0,0,0,0
1695,0,0,0,0
1741,0,0,0,0
1787,0,0,0,0
1834,0,0,0,0
1880,0,0,0,0
1927,0,0,0,0
1973,0,0,0,0
2020,0,0,0,0
2066,0,0,0,0
2113,0,0,0,0
2159,0,0,0,0
2205,0,0,0,0
2252,0,0,0,0
2298,0,0,0,0
2345,0,0,0,0
2391,0,0,0,0
2438,0,0,0,0
2484,0,0,0,0
2530,0,0,0,0
2577,0,0,0,0
2623,0,0,0,0
2670,0,0,0,0
2716,0,0,0,0
2763,0,0,0,0
2809,0,0,0,0
2856,0,0,0,0
2902,0,0,0,0
2948,0,0,0,0
2995,0,0,0,0
3041,0,0,0,0
3088,0,0,0,0
3134,0,0,0,0
3181,0,0,0,0
3227,0,0,0,0
3274,0,0,0,0
3320,0,0,0,0
3366,0,0,0,0
3413,0,0,0,0
3459,0,0,0,0
3506,0,0,0,0
3552,0,0,0,0
3599,0,0,0,0
3645,0,0,0,0
3691,0,0,0,0
3738,0,0,0,0
3784,0,0,0,0
3831,0,0,0,0
3877,0,0,0,0
3924,0,0,0,0
3970,0,0,0,0
4017,0,0,0,0
4063,0,0,0,0
4109,0,0,0,0
4156,0,0,0,0
4202,0,0,0,0
4249,0,0,0,0
4295,0,0,0,0
4342,0,0,0,0
4388,0,0,0,0
4435,0,0,0,0
4481,0,0,0,0
4527,0,0,0,0
4574,0,0,0,0
4620,0,0,0,0
4667,0,0,0,0
4713,0,0,0,0
4760,0,0,0,0
4806,0,0,0,0
4852,0,0,0,0
4899,0,0,0,0
4945,0,0,0,0
4992,0,0,0,0
5038,0,0,0,0
5085,0,0,0,0
5131,0,0,0,0
5178,0,0,0,0
5224,0,0,0,0
5270,0,0,0,0
5317,0,0,0,0
5363,0,0,0,0
5410,0,0,0,0
5456,0,0,0,0
5503,0,0,0,0
5549,0,0,0,0
5595,0,0,0,0
5642,0,0,0,0
5688,0,0,0,0
5735,0,0,0,0
5781,0,0,0,0
5828,0,0,0,0
5874,0,0,0,0
5921,0,0,0,0
5967,0,0,0,0
6013,0,0,0,0
6060,0,0,0,0
6106,0,0,0,0
6153,0,0,0,0
6199,0,0,0,0
6246,0,0,0,0
6292,0,0,0,0
6339,0,0,0,0
6385,0,0,0,0
6431,0,0,0,0
6478,0,0,0,0
6524,0,0,0,0
6571,0,0,0,0
6617,0,0,0,0
6664,0,0,0,0
6710,0,0,0,0
6756,0,0,0,0
6803,0,0,0,0
6849,0,0,0,0
6896,0,0,0,0
6942,0,0,0,0
6989,0,0,0,0
7035,0,0,0,0
7082,0,0,0,0
7128,0,0,0,0
7174,0,0,0,0
7221,0,0,0,0
7267,0,0,0,0
7314,0,0,0,0
7360,0,0,0,0
7407,0,0,0,0
7453,0,0,0,0
7500,0,0,0,0
7546,0,0,0,0
7592,0,0,0,0
7639,0,0,0,0
7685,0,0,0,0
7732,0,0,0,0
7778,0,0,0,0
7825,0,0,0,0
7871,0,0,0,0
7917,0,0,0,0
7964,0,0,0,0
8010,0,0,0,0
8057,0,0,0,0
8103,0,0,0,0
8150,0,0,0,0
8196,0,0,0,0
8243,0,0,0,0
8289,0,0,0,0
8335,0,0,0,0
8382,0,0,0,0
8428,0,0,0,0
8475,0,0,0,0
8521,0,0,0,0
8568,0,0,0,0
8614,0,0,0,0
8661,0,0,0,0
8707,0,0,0,0
8753,0,0,0,0
8800,0,0,0,0
8846,0,0,0,0
8893,0,0,0,0
8939,0,0,0,0
8986,0,0,0,0
9032,0,0,0,0
9078,0,0,0,0
9125,0,0,0,0
9171,0,0,0,0
9218,0,0,0,0
9264,0,0,0,0
9311,0,0,0,0
9357,0,0,0,0
9404,0,0,0,0
9450,0,0,0,0
9496,0,0,0,0
9543,0,0,0,0
9589,0,0,0,0
9636,0,0,0,0
9682,0,0,0,0
9729,0,0,0,0
9775,0,0,0,0
9822,0,0,0,0
9868,0,0,0,0
9914,0,0,0,0
9961,0,0,0,0
10007,0,0,0,0
10054,0,0,0,0
10100,0,0,0,0
10147,0,0,0,0
10193,0,0,0,0
10239,0,0,0,0
10286,0,0,0,0
10332,0,0,0,0
10379,0,0,0,0
10425,0,0,0,0
10472,0,0,0,0
10518,0,0,0,0
10565,0,0,0,0
10611,0,0,0,0
10657,0,0,0,0
10704,0,0,0,0
10750,0,0,0,0
10797,0,0,0,0
10843,0,0,0,0
10890,0,0,0,0
10936,0,0,0,0
10983,0,0,0,0
11029,0,0,0,0
11075,0,0,0,0
11122,0,0,0,0
11168,0,0,0,0
11215,0,0,0,0
11261,0,0,0,0
11308,0,0,0,0
11354,0,0,0,0
11400,0,0,0,0
11447,0,0,0,0
11493,0,0,0,0
11540,0,0,0,0
11586,0,0,0,0
11633,0,0,0,0
11679,0,0,0,0
11726,0,0,0,0
11772,0,0,0,0
11818,0,0,0,0
11865,0,0,0,0
11911,0,0,0,0
11958,0,0,0,0
12004,0,0,0,0
12051,0,0,0,0
12097,0,0,0,0
12144,0,0,0,0
12190,0,0,0,0
12236,0,0,0,0
12283,0,0,0,0
12329,0,0,0,0
12376,0,0,0,0
12422,0,0,0,0
12469,0,0,0,0
12515,0,0,0,0
12561,0,0,0,0
12608,0,0,0,0
12654,0,0,0,0
12701,0,0,0,0
12747,0,0,0,0
12794,0,0,0,0
12840,0,0,0,0
12887,0,0,0,0
12933,0,0,0,0
12979,0,0,0,0
13026,0,0,0,0
13072,0,0,0,0
13119,0,0,0,0
13165,0,0,0,0
13212,0,0,0,0
13258,0,0,0,0
13305,0,0,0,0
13351,0,0,0,0
13397,0,0,0,0
13444,0,0,0,0
13490,0,0,0,0
13537,0,0,0,0
13583,0,0,0,0
13630,0,0,0,0
13676,0,0,0,0
13722,0,0,0,0
13769,0,0,0,0
13815,0,0,0,0
13862,0,0,0,0
13908,0,0,0,0
13955,0,0,0,0
14001,0,0,0,0
14048,0,0,0,0
14094,0,0,0,0
14140,0,0,0,0
14187,0,0,0,0
14233,0,0,0,0
14280,0,0,0,0
14326,0,0,0,0
14373,0,0,0,0
14419,0,0,0,0
14466,0,0,0,0
14512,0,0,0,0
14558,0,0,0,0
14605,0,0,0,0
14651,0,0,0,0
14698,0,0,0,0
14744,0,0,0,0
14791,0,0,0,0
14837,0,1,0,0
14883,0,1,0,0
14930,0,1,0,0
14976,0,1,0,0
15023,0,1,0,0
15069,0,1,0,0
15116,0,0,0,0
15162,0,0,0,0
15209,0,0,0,0
