time [ms],led_0,led_1,led_2,led_3
23,0,0,0,0
69,0,0,0,0
116,0,0,0,0
162,0,0,0,0
208,0,0,0,0
255,0,0,0,0
301,0,0,0,0
348,0,0,0,0
394,0,0,0,0
441,0,0,0,0
487,0,0,0,0
534,0,0,0,0
580,0,0,0,0
626,0,0,0,0
673,2,0,0,0
719,2,0,0,0
766,0,0,0,0
812,0,0,0,0
859,3,0,0,0
905,3,0,0,0
952,5,0,0,0
998,7,0,0,0
1044,8,1,0,0
1091,7,0,0,0
1137,6,0,0,0
1184,5,0,0,0
1230,4,0,0,0
1277,2,0,0,0
1323,2,0,0,0
1369,4,0,0,0
1416,2,0,0,0
1462,3,0,0,0
1509,3,0,0,0
1555,5,2,0,0
1602,6,3,0,0
1648,2,0,0,0
1695,7,0,0,0
1741,5,0,0,0
1787,2,0,0,0
1834,0,0,0,0
1880,4,0,0,0
1927,4,0,0,0
1973,0,0,0,0
2020,1,0,0,0
2066,7,2,0,0
2113,8,3,0,0
2159,6,3,0,0
2205,9,1,0,0
2252,10,5,0,0
2298,8,0,0,0
2345,6,0,0,0
2391,4,0,0,0
2438,6,0,0,0
2484,6,0,0,0
2530,8,1,0,0
2577,8,0,0,0
2623,3,1,0,0
2670,4,0,0,0
2716,5,1,0,0
2763,5,1,0,0
2809,6,3,0,0
2856,6,0,0,0
2902,9,3,0,0
2948,6,0,0,0
2995,1,0,0,0
3041,3,0,0,0
3088,7,2,0,0
3134,7,0,0,0
3181,7,0,0,0
3227,6,2,0,0
3274,1,0,0,0
3320,4,0,0,0
3366,7,0,0,0
3413,8,4,0,0
3459,6,2,0,0
3506,4,0,0,0
3552,6,1,0,0
3599,7,3,0,0
3645,4,0,0,0
3691,0,0,0,0
3738,3,0,0,0
3784,7,3,0,0
3831,7,2,0,0
3877,4,0,0,0
3924,1,0,0,0
3970,9,2,0,0
4017,9,2,0,0
4063,9,1,0,0
4109,8,0,0,0
4156,5,0,0,0
4202,3,0,0,0
4249,4,0,0,0
4295,6,0,0,0
4342,1,0,0,0
4388,3,0,0,0
4435,4,0,0,0
4481,6,0,0,0
4527,7,0,0,0
4574,8,3,0,0
4620,7,1,0,0
4667,7,0,0,0
4713,9,2,0,0
4760,10,3,0,0
4806,3,2,0,0
4852,6,2,0,0
4899,8,3,0,0
4945,7,2,0,0
4992,5,0,0,0
5038,8,2,0,0
5085,8,3,0,0
5131,8,0,0,0
5178,8,2,0,0
5224,6,0,0,0
5270,3,0,0,0
5317,4,0,0,0
5363,9,4,0,0
5410,8,3,0,0
5456,6,0,0,0
5503,9,3,0,0
5549,8,3,0,0
5595,4,1,0,0
5642,4,0,0,0
5688,5,0,0,0
5735,3,0,0,0
5781,0,0,0,0
5828,2,0,0,0
5874,6,1,0,0
5921,8,3,0,0
5967,8,4,0,0
6013,7,3,0,0
6060,0,0,0,0
6106,5,0,0,0
6153,4,0,0,0
6199,1,0,0,0
6246,4,0,0,0
6292,8,2,0,0
6339,10,3,0,0
6385,9,1,0,0
6431,7,0,0,0
6478,4,0,0,0
6524,2,0,0,0
6571,5,0,0,0
6617,2,0,0,0
6664,6,1,0,0
6710,9,4,0,0
6756,8,1,0,0
6803,8,0,0,0
6849,10,5,0,0
6896,9,3,0,0
6942,6,0,0,0
6989,7,2,0,0
7035,4,0,0,0
7082,6,0,0,0
7128,7,2,0,0
7174,7,1,0,0
7221,4,1,0,0
7267,3,0,0,0
7314,2,0,0,0
7360,7,0,0,0
7407,6,2,0,0
7453,10,5,0,0
7500,8,4,0,0
7546,6,2,0,0
7592,0,0,0,0
7639,6,0,0,0
7685,7,0,0,0
7732,7,0,0,0
7778,6,0,0,0
7825,6,0,0,0
7871,3,0,0,0
7917,4,0,0,0
7964,4,0,0,0
8010,1,0,0,0
8057,4,0,0,0
8103,3,0,0,0
8150,1,0,0,0
8196,5,0,0,0
8243,6,0,0,0
8289,7,1,0,0
8335,7,0,0,0
8382,7,2,0,0
8428,5,1,0,0
8475,2,0,0,0
8521,0,7,0,0
8568,4,11,0,0
8614,4,14,11,5
8661,8,14,11,5
8707,8,15,12,7
8753,4,14,12,8
8800,5,15,10,6
8846,5,14,8,4
8893,4,13,8,2
8939,4,12,6,2
8986,7,12,3,1
9032,9,8,3,2
9078,6,4,1,1
9125,1,2,2,0
9171,3,0,0,0
9218,5,1,0,0
9264,8,2,0,0
9311,8,2,0,0
9357,8,2,0,0
9404,7,1,0,0
9450,5,0,0,0
9496,0,0,0,0
9543,0,0,0,0
9589,0,0,0,0
9636,7,3,0,0
9682,9,11,5,0
9729,5,14,10,6
9775,8,14,7,7
9822,8,9,2,10
9868,3,9,8,9
9914,6,15,7,6
9961,6,15,12,12
10007,6,14,13,10
10054,2,11,8,5
10100,7,13,13,9
10147,8,13,12,7
10193,8,13,11,6
10239,6,11,7,3
10286,7,12,12,6
10332,9,12,10,4
10379,7,12,9,2
10425,10,12,11,7
10472,10,12,12,9
10518,11,12,12,10
10565,11,13,10,9
10611,10,12,9,9
10657,7,9,5,3
10704,6,4,5,4
10750,6,5,3,1
10797,5,10,8,0
10843,8,10,5,1
10890,6,11,3,3
10936,8,8,3,1
10983,10,6,0,1
11029,8,2,0,0
11075,9,5,0,0
11122,8,4,0,0
11168,4,1,0,0
11215,1,0,0,0
11261,4,0,0,0
11308,5,0,0,0
11354,3,0,0,0
11400,0,0,0,0
11447,1,0,0,0
11493,4,1,0,0
11540,4,1,0,0
11586,3,0,0,0
11633,3,0,0,0
11679,4,1,0,0
11726,5,0,0,0
11772,6,1,0,0
11818,5,0,0,0
11865,3,1,0,0
11911,4,0,0,0
11958,5,0,0,0
12004,6,0,0,0
12051,9,2,0,0
12097,8,1,0,0
12144,3,0,0,0
12190,1,7,8,7
12236,5,15,11,10
12283,5,14,11,10
12329,2,15,11,12
12376,3,15,10,10
12422,4,16,8,6
12469,3,16,11,11
12515,5,15,12,12
12561,6,12,6,4
12608,7,14,12,10
12654,6,14,10,10
12701,8,14,10,12
12747,4,13,9,10
12794,5,5,3,4
12840,5,5,4,11
12887,0,4,3,11
12933,0,0,0,1
12979,0,10,8,7
13026,0,12,8,8
13072,2,4,0,2
13119,3,5,3,2
13165,4,7,9,9
13212,6,13,9,8
13258,2,8,0,0
13305,7,4,0,0
13351,3,6,5,6
13397,7,9,4,4
13444,5,12,8,7
13490,8,11,8,6
13537,7,8,4,3
13583,10,5,4,7
13630,9,4,3,8
13676,3,1,1,9
13722,5,1,0,9
13769,6,5,1,5
13815,5,2,0,0
13862,2,0,0,0
13908,6,2,0,0
13955,6,1,0,0
14001,3,0,0,0
14048,6,0,0,0
14094,5,0,0,0
14140,5,1,0,0
14187,4,0,0,0
14233,7,1,0,0
14280,6,1,0,0
14326,3,0,0,0
14373,7,0,0,0
14419,7,0,0,0
14466,2,0,0,0
14512,1,0,0,0
14558,7,3,0,0
14605,8,4,0,0
14651,8,5,0,0
14698,7,4,0,0
14744,8,1,0,0
14791,9,3,0,0
14837,8,2,0,0
14883,8,5,0,3
14930,8,14,9,10
14976,9,12,2,3
15023,9,13,10,13
15069,5,14,14,13
15116,7,13,15,14
15162,7,13,12,10
15209,5,8,7,10
