time [ms],led_0,led_1,led_2,led_3
23,2,3,5,0
69,6,8,7,3
116,8,12,11,2
162,9,10,8,8
208,10,11,14,5
255,11,12,13,5
301,10,12,12,5
348,11,12,12,7
394,11,12,12,2
441,9,9,12,4
487,11,11,11,7
534,11,12,11,1
580,11,10,11,1
626,11,9,11,1
673,11,10,11,1
719,11,10,11,0
766,10,11,11,3
812,11,9,11,1
859,11,11,11,2
905,11,11,11,0
952,10,13,12,1
998,10,12,12,1
1044,10,11,11,0
1091,10,11,11,0
1137,9,12,12,5
1184,10,12,10,2
1230,8,12,11,5
1277,10,11,10,1
1323,9,11,9,2
1369,10,12,9,0
1416,9,12,9,1
1462,9,12,9,0
1509,9,10,9,4
1555,9,11,9,0
1602,9,11,8,4
1648,9,12,8,4
1695,8,12,8,4
1741,8,11,8,6
1787,8,10,7,5
1834,8,10,7,3
1880,8,10,7,5
1927,8,11,6,0
1973,8,11,7,0
2020,7,12,6,2
2066,8,11,6,1
2113,8,10,6,3
2159,7,11,10,4
2205,8,11,7,2
2252,8,11,7,1
2298,8,12,8,6
2345,8,9,7,8
2391,7,10,6,0
2438,8,10,6,3
2484,8,12,5,0
2530,8,11,6,0
2577,7,12,5,0
2623,7,10,5,1
2670,8,11,5,4
2716,8,12,7,6
2763,8,12,6,4
2809,7,11,8,3
2856,7,11,11,3
2902,7,9,5,0
2948,7,12,5,4
2995,7,10,6,1
3041,7,11,4,6
3088,7,8,4,3
3134,8,11,7,5
3181,8,9,6,2
3227,7,10,6,6
3274,9,9,5,4
3320,8,8,6,2
3366,7,10,10,9
3413,8,10,6,1
3459,7,9,6,2
3506,7,10,4,1
3552,7,10,6,0
3599,7,11,6,0
3645,7,11,7,0
3691,8,12,6,2
3738,6,11,6,5
3784,7,11,6,1
3831,11,14,12,5
3877,3,10,5,3
3924,0,11,5,1
3970,0,12,4,4
4017,0,12,4,2
4063,0,11,4,3
4109,4,10,6,2
4156,0,11,5,1
4202,0,10,4,0
4249,0,9,3,1
4295,5,8,6,2
4342,0,9,5,0
4388,10,12,8,2
4435,11,12,12,4
4481,11,12,12,1
4527,10,12,12,5
4574,10,12,11,1
4620,10,12,11,3
4667,10,12,11,2
4713,10,12,10,1
4760,10,12,11,4
4806,10,12,10,0
4852,10,11,10,1
4899,10,10,10,2
4945,10,10,10,0
4992,10,10,10,4
5038,10,10,10,2
5085,10,11,10,4
5131,10,11,10,0
5178,10,12,10,1
5224,10,12,9,6
5270,10,12,9,1
5317,9,12,9,1
5363,9,12,9,0
5410,10,11,10,1
5456,9,13,10,1
5503,8,12,9,1
5549,9,13,9,1
5595,9,12,9,1
5642,9,12,9,4
5688,9,11,9,1
5735,9,12,8,6
5781,9,11,8,0
5828,12,11,8,7
5874,12,8,11,10
5921,14,11,8,5
