time [ms],led_0,led_1,led_2,led_3
23,0,0,0,0
69,0,0,0,0
116,0,0,0,0
162,0,0,0,0
208,0,0,0,0
255,0,0,0,0
301,0,0,0,0
348,0,0,0,0
394,0,0,0,0
441,0,0,0,0
487,0,0,0,0
534,0,0,0,0
580,0,0,0,0
626,0,0,0,0
673,0,0,0,0
719,0,0,0,0
766,0,0,0,0
812,0,0,0,0
859,0,0,0,0
905,0,0,0,0
952,0,0,0,0
998,0,0,0,0
1044,0,0,0,0
1091,0,0,0,0
1137,0,0,0,0
1184,0,0,0,0
1230,0,0,0,0
1277,0,0,0,0
1323,0,0,0,0
1369,0,0,0,0
1416,0,0,0,0
1462,0,0,0,0
1509,0,0,0,0
1555,0,0,0,0
1602,0,0,0,0
1648,0,0,0,0
1695,0,0,0,0
1741,0,0,0,0
1787,0,0,0,0
1834,0,0,0,0
1880,0,0,0,0
1927,0,0,0,0
1973,0,0,0,0
2020,0,0,0,0
2066,0,0,0,0
2113,0,0,0,0
2159,0,0,0,0
2205,0,0,0,0
2252,0,0,0,0
2298,0,0,0,0
2345,0,0,0,0
2391,0,0,0,0
2438,0,0,0,0
2484,0,0,0,0
2530,0,0,0,0
2577,0,0,0,0
2623,0,0,0,0
2670,0,0,0,0
2716,0,0,0,0
2763,0,0,0,0
2809,0,0,0,0
2856,0,0,0,0
2902,0,0,0,0
2948,0,0,0,0
2995,0,0,0,0
3041,0,0,0,0
3088,0,0,0,0
3134,0,0,0,0
3181,0,0,0,0
3227,0,0,0,0
3274,0,0,0,0
3320,0,0,0,0
3366,0,0,0,0
3413,0,0,0,0
3459,0,0,0,0
3506,0,0,0,0
3552,0,0,0,0
3599,0,0,0,0
3645,0,0,0,0
3691,0,0,0,0
3738,0,0,0,0
3784,0,0,0,0
3831,0,0,0,0
3877,0,0,0,0
3924,0,0,0,0
3970,0,0,0,0
4017,0,0,0,0
4063,0,0,0,0
4109,0,0,0,0
4156,0,0,0,0
4202,0,0,0,0
4249,0,0,0,0
4295,0,0,0,0
4342,0,0,0,0
4388,0,0,0,0
4435,0,0,0,0
4481,0,0,0,0
4527,0,0,0,0
4574,0,0,0,0
4620,0,0,0,0
4667,0,0,0,0
4713,0,0,0,0
4760,0,0,0,0
4806,0,0,0,0
4852,0,0,0,0
4899,0,0,0,0
4945,0,0,0,0
4992,0,0,0,0
5038,8,9,8,7
5085,7,12,9,9
5131,8,13,10,9
5178,10,13,8,9
5224,10,13,9,9
5270,9,11,9,8
5317,9,13,9,9
5363,8,11,8,8
5410,8,12,8,9
5456,7,12,8,8
5503,8,12,7,9
5549,9,12,7,8
5595,9,11,7,9
5642,9,12,7,8
5688,8,11,8,8
5735,8,12,7,9
5781,8,11,7,8
5828,8,11,7,8
5874,8,11,8,8
5921,8,11,6,8
5967,8,11,7,8
6013,8,11,7,8
6060,8,11,6,8
6106,8,11,6,8
6153,9,14,9,9
6199,2,9,9,8
6246,9,12,9,9
6292,8,12,9,9
6339,5,12,8,9
6385,8,11,9,8
6431,7,11,9,9
6478,6,11,8,8
6524,9,12,9,9
6571,7,11,8,8
6617,8,12,8,9
6664,9,12,9,8
6710,4,11,9,8
6756,9,13,9,9
6803,8,11,9,9
6849,5,10,8,9
6896,8,11,8,9
6942,7,12,8,8
6989,6,11,8,8
7035,9,13,8,9
7082,8,12,7,8
7128,8,12,7,8
7174,9,13,7,9
7221,6,10,7,8
7267,8,12,8,8
7314,9,12,7,9
7360,4,11,7,8
7407,8,12,7,8
7453,8,12,7,8
7500,4,10,7,8
7546,9,12,7,9
7592,8,12,7,8
7639,6,11,7,8
7685,9,12,7,8
7732,7,12,7,8
7778,7,10,7,7
7825,8,12,7,8
7871,5,10,6,8
7917,7,11,7,8
7964,8,11,7,8
8010,3,10,7,8
8057,8,12,6,8
8103,8,10,6,8
8150,5,10,6,8
8196,8,12,6,9
8243,7,10,6,8
8289,6,10,6,8
8335,8,11,7,8
8382,5,9,6,7
8428,7,11,6,8
8475,8,11,6,8
8521,4,9,5,8
8568,8,11,7,8
8614,8,12,6,8
8661,2,8,7,7
8707,8,11,6,8
8753,7,11,6,8
8800,4,7,6,7
8846,8,11,7,8
8893,5,9,7,7
8939,6,10,6,8
8986,8,10,6,8
9032,5,10,6,8
9078,7,10,6,8
9125,8,11,6,8
9171,2,7,6,7
9218,7,10,6,8
9264,7,10,6,8
9311,3,7,6,7
9357,7,10,5,7
9404,6,8,6,7
9450,3,9,6,8
9496,7,9,6,8
9543,5,9,6,7
9589,4,8,6,7
9636,7,10,7,8
9682,4,6,7,6
9729,7,10,6,7
9775,6,9,6,7
9822,1,5,5,5
9868,6,9,6,7
9914,5,8,6,7
9961,3,8,6,6
10007,7,9,6,7
10054,5,9,6,7
10100,5,7,6,6
10147,7,10,5,8
10193,3,5,5,5
10239,5,8,6,7
10286,6,9,6,7
10332,2,6,6,6
10379,5,8,6,6
10425,5,8,6,7
10472,3,5,5,5
10518,5,7,5,6
10565,5,9,6,7
10611,4,5,5,5
10657,6,8,6,7
10704,4,6,5,5
10750,5,7,5,5
10797,5,8,6,7
10843,3,5,5,5
10890,4,6,5,5
10936,4,6,5,5
10983,3,5,5,5
11029,9,11,10,8
11075,8,13,9,9
11122,8,12,10,9
11168,9,12,9,9
11215,10,14,10,9
11261,8,11,9,9
11308,9,13,8,9
11354,9,11,9,8
11400,7,12,8,8
11447,8,12,8,9
11493,8,12,8,9
11540,8,12,7,9
11586,9,12,8,9
11633,9,12,7,8
11679,8,12,8,8
11726,9,12,8,8
11772,8,11,7,8
11818,8,11,7,8
11865,9,12,7,8
11911,8,10,6,8
11958,8,11,7,8
12004,8,11,7,8
12051,8,11,6,8
12097,9,12,8,8
12144,9,12,8,9
12190,9,13,9,9
12236,5,12,8,9
12283,9,12,9,9
12329,8,12,9,9
12376,5,12,9,9
12422,9,12,9,9
12469,8,13,8,9
12515,6,10,8,8
12561,9,13,8,9
12608,7,11,8,9
12654,8,13,9,9
12701,9,12,9,9
12747,5,11,8,8
12794,8,13,9,9
12840,9,12,9,9
12887,5,11,8,8
12933,9,12,8,9
12979,8,13,7,9
13026,5,8,7,7
13072,9,14,8,9
13119,7,11,7,8
13165,7,12,7,9
13212,9,12,7,8
13258,6,12,6,9
13305,8,12,7,9
13351,9,12,7,9
13397,4,11,7,8
13444,8,11,7,8
13490,8,13,7,9
13537,4,8,7,8
13583,9,13,8,9
13630,8,11,7,8
13676,5,11,7,8
13722,9,12,7,8
13769,7,11,7,8
13815,7,10,6,8
13862,8,12,7,8
13908,5,11,7,8
13955,7,11,6,8
14001,8,11,6,8
14048,4,8,7,7
14094,8,12,6,8
14140,8,10,6,8
14187,5,11,5,8
14233,9,11,6,8
14280,7,11,6,8
14326,5,10,6,8
14373,8,12,6,8
14419,5,9,6,7
14466,6,10,6,8
14512,8,12,6,8
14558,5,8,6,8
14605,7,12,6,8
14651,8,11,6,8
14698,4,8,6,7
14744,8,11,6,8
14791,7,11,6,8
14837,4,7,6,7
14883,7,10,7,8
14930,6,10,6,8
14976,5,8,6,7
15023,8,11,6,8
15069,5,8,6,7
15116,6,9,6,7
15162,8,10,5,8
15209,4,8,5,6
